"ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME",
"01A","Afognak Lake, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"1B1","Hudson, NY","CTH","Coatesville, PA",
"1G4","Peach Springs, AZ","1G4","Peach Springs, AZ",
"1G4","Peach Springs, AZ","DQS","Whitmore, AZ",
"1G4","Peach Springs, AZ","GCN","Grand Canyon, AZ",
"1G4","Peach Springs, AZ","BLD","Boulder City, NV",
"1G4","Peach Springs, AZ","DQS","Whitmore, AZ",
"1G4","Peach Springs, AZ","BLD","Boulder City, NV",
"1TX","Dumas, TX","GUF","Gulf Shores, AL",
"1TX","Dumas, TX","SBP","San Luis Obispo, CA",
"1TX","Dumas, TX","SMF","Sacramento, CA",
"2TX","Brenham, TX","TN8","Nashville, TN",
"5TX","Edinburg, TX","ADS","Dallas, TX",
"6B0","Middlebury, VT","HPN","White Plains, NY",
"7AK","Akun, AK","ANC","Anchorage, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"A03","Hallo Bay, AK","A43","Kodiak Island, AK",
"A03","Hallo Bay, AK","HOM","Homer, AK",
"A04","Red Lake, AK","KKL","Karluk Lake, AK",
"A04","Red Lake, AK","KKL","Karluk Lake, AK",
"A1K","Deadhorse1, AK","SCC","Deadhorse, AK",
"A1K","Deadhorse1, AK","A1K","Deadhorse1, AK",
"A20","Alpine, AK","SCC","Deadhorse, AK",
"A27","Pogo Mines, AK","FAI","Fairbanks, AK",
"A29","Kiluda Bay, AK","A43","Kodiak Island, AK",
"A43","Kodiak Island, AK","ALZ","Lazy Bay, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KPY","Port Bailey, AK",
"A43","Kodiak Island, AK","ALZ","Lazy Bay, AK",
